SELLER_ID||SELLER_ZIP_CODE_PREFIX
2a1348e9addc1af5aaa619b1a3679d6b||30575
28a26ebce31d5918b181ede016fd693b||30575
41ab63a91b8b264e8c8780368bf1dd5b||30575
276677b5d08786d5dce7c2149dcce48b||30575
585175ec331ea177fa47199e39a6170a||39400
9b1050e85becf3ae99c1cf4934c9bc5d||39400
3d49bfdd1b43a7fe169b3740067acc61||39400
014c0679dd340a0e338872e7ec85666a||35182
2a7dc43cecabf23403078e2188437d1d||35182
95e03ca3d4146e4011985981aeb959b9||35182
9f505651f4a6abe901a56cdc21508025||35182
8f2ce03f928b567e3d56181ae20ae952||35182
0241d4d5d36f10f80c644447315af0bd||39400
7a241947449cc45dbfda4f9d0798d9d0||39400
b6e1504972665f739dec4facb9943775||39400
ec8879960bd2221d5c32f8e12f7da711||39400
kj779lj||1233315
amazon||12315
flipkart||12315
lol||12315
1561||12315
1o561||12315
q1o561||12315
transaction1||12315
